Высота (для RBT -1) | Количество элементов
        30          |          4970
        30          |          4980
        30          |          4990
        30          |          5000
        30          |          5010
        30          |          5020
        30          |          5030
        30          |          5040
        30          |          5050
        30          |          5060
        30          |          5070
        30          |          5080
        30          |          5090
        30          |          5100
        30          |          5110
        30          |          5120
        30          |          5130
        30          |          5140
        30          |          5150
        30          |          5160
        30          |          5170
        30          |          5180
        30          |          5190
        30          |          5200
        30          |          5210
        30          |          5220
        30          |          5230
        30          |          5240
        30          |          5250
        30          |          5260
        30          |          5270
        30          |          5280
        30          |          5290
        30          |          5300
        30          |          5310
        30          |          5320
        30          |          5330
        30          |          5340
        30          |          5350
        30          |          5360
        30          |          5370
        30          |          5380
        30          |          5390
        30          |          5400
        30          |          5410
        30          |          5420
        30          |          5430
        30          |          5440
        30          |          5450
        30          |          5460
        30          |          5470
        30          |          5480
        30          |          5490
        30          |          5500
        30          |          5510
        30          |          5520
        30          |          5530
        30          |          5540
        30          |          5550
        30          |          5560
        30          |          5570
        30          |          5580
        30          |          5590
        30          |          5600
        30          |          5610
        30          |          5620
        30          |          5630
        30          |          5640
        30          |          5650
        30          |          5660
        30          |          5670
        30          |          5680
        30          |          5690
        30          |          5700
        30          |          5710
        30          |          5720
        30          |          5730
        30          |          5740
        30          |          5750
        30          |          5760
        30          |          5770
        30          |          5780
        30          |          5790
        30          |          5800
        30          |          5810
        30          |          5820
        30          |          5830
        30          |          5840
        30          |          5850
        30          |          5860
        30          |          5870
        30          |          5880
        30          |          5890
        30          |          5900
        30          |          5910
        30          |          5920
        30          |          5930
        30          |          5940
        30          |          5950
        30          |          5960
        30          |          5970
        30          |          5980
        30          |          5990
        30          |          6000
        30          |          6010
        30          |          6020
        30          |          6030
        30          |          6040
        30          |          6050
        30          |          6060
        30          |          6070
        30          |          6080
        30          |          6090
        30          |          6100
        30          |          6110
        30          |          6120
        30          |          6130
        30          |          6140
        30          |          6150
        30          |          6160
        30          |          6170
        30          |          6180
        30          |          6190
        30          |          6200
        30          |          6210
        30          |          6220
        30          |          6230
        30          |          6240
        30          |          6250
        30          |          6260
        30          |          6270
        30          |          6280
        30          |          6290
        30          |          6300
        30          |          6310
        30          |          6320
        30          |          6330
        30          |          6340
        30          |          6350
        30          |          6360
        30          |          6370
        30          |          6380
        30          |          6390
        30          |          6400
        30          |          6410
        30          |          6420
        30          |          6430
        30          |          6440
        30          |          6450
        30          |          6460
        30          |          6470
        30          |          6480
        30          |          6490
        30          |          6500
        30          |          6510
        30          |          6520
        30          |          6530
        30          |          6540
        30          |          6550
        30          |          6560
        30          |          6570
        30          |          6580
        30          |          6590
        30          |          6600
        30          |          6610
        30          |          6620
        30          |          6630
        30          |          6640
        30          |          6650
        30          |          6660
        30          |          6670
        30          |          6680
        30          |          6690
        30          |          6700
        30          |          6710
        30          |          6720
        30          |          6730
        30          |          6740
        30          |          6750
        30          |          6760
        30          |          6770
        30          |          6780
        30          |          6790
        30          |          6800
        30          |          6810
        30          |          6820
        30          |          6830
        30          |          6840
        30          |          6850
        30          |          6860
        30          |          6870
        30          |          6880
        30          |          6890
        30          |          6900
        30          |          6910
        30          |          6920
        30          |          6930
        30          |          6940
        30          |          6950
        30          |          6960
        30          |          6970
        30          |          6980
        30          |          6990
        30          |          7000
        30          |          7010
        30          |          7020
        30          |          7030
        30          |          7040
        30          |          7050
        30          |          7060
        30          |          7070
        30          |          7080
        30          |          7090
        30          |          7100
        30          |          7110
        30          |          7120
        30          |          7130
        30          |          7140
        30          |          7150
        30          |          7160
        30          |          7170
        30          |          7180
        30          |          7190
        30          |          7200
        30          |          7210
        30          |          7220
        30          |          7230
        30          |          7240
        30          |          7250
        30          |          7260
        30          |          7270
        30          |          7280
        30          |          7290
        30          |          7300
        30          |          7310
        30          |          7320
        30          |          7330
        30          |          7340
        30          |          7350
        30          |          7360
        30          |          7370
        30          |          7380
        30          |          7390
        30          |          7400
        30          |          7410
        30          |          7420
        30          |          7430
        30          |          7440
        30          |          7450
        30          |          7460
        30          |          7470
        30          |          7480
        30          |          7490
        30          |          7500
        30          |          7510
        30          |          7520
        30          |          7530
        30          |          7540
        30          |          7550
        30          |          7560
        30          |          7570
        30          |          7580
        30          |          7590
        30          |          7600
        30          |          7610
        30          |          7620
        30          |          7630
        30          |          7640
        30          |          7650
        30          |          7660
        30          |          7670
        30          |          7680
        30          |          7690
        30          |          7700
        30          |          7710
        30          |          7720
        30          |          7730
        30          |          7740
        30          |          7750
        30          |          7760
        30          |          7770
        30          |          7780
        30          |          7790
        30          |          7800
        30          |          7810
        30          |          7820
        30          |          7830
        30          |          7840
        30          |          7850
        30          |          7860
        30          |          7870
        30          |          7880
        30          |          7890
        30          |          7900
        30          |          7910
        30          |          7920
        30          |          7930
        30          |          7940
        30          |          7950
        30          |          7960
        30          |          7970
        30          |          7980
        30          |          7990
        30          |          8000
        30          |          8010
        30          |          8020
        30          |          8030
        30          |          8040
        30          |          8050
        30          |          8060
        30          |          8070
        30          |          8080
        30          |          8090
        30          |          8100
        30          |          8110
        30          |          8120
        30          |          8130
        30          |          8140
        30          |          8150
        30          |          8160
        30          |          8170
        30          |          8180
        30          |          8190
        30          |          8200
        30          |          8210
        30          |          8220
        30          |          8230
        30          |          8240
        30          |          8250
        30          |          8260
        30          |          8270
        30          |          8280
        30          |          8290
        30          |          8300
        30          |          8310
        30          |          8320
        30          |          8330
        30          |          8340
        30          |          8350
        30          |          8360
        30          |          8370
        30          |          8380
        30          |          8390
        30          |          8400
        30          |          8410
        30          |          8420
        30          |          8430
        30          |          8440
        30          |          8450
        31          |          8460
        31          |          8470
        31          |          8480
        31          |          8490
        31          |          8500
        31          |          8510
        31          |          8520
        31          |          8530
        31          |          8540
        31          |          8550
        31          |          8560
        31          |          8570
        31          |          8580
        31          |          8590
        31          |          8600
        31          |          8610
        31          |          8620
        31          |          8630
        31          |          8640
        31          |          8650
        31          |          8660
        31          |          8670
        31          |          8680
        31          |          8690
        31          |          8700
        31          |          8710
        31          |          8720
        31          |          8730
        31          |          8740
        31          |          8750
        31          |          8760
        31          |          8770
        31          |          8780
        31          |          8790
        31          |          8800
        31          |          8810
        31          |          8820
        31          |          8830
        31          |          8840
        31          |          8850
        31          |          8860
        31          |          8870
        31          |          8880
        31          |          8890
        31          |          8900
        31          |          8910
        31          |          8920
        31          |          8930
        31          |          8940
        31          |          8950
        31          |          8960
        31          |          8970
        31          |          8980
        31          |          8990
        31          |          9000
        31          |          9010
        31          |          9020
        31          |          9030
        31          |          9040
        31          |          9050
        31          |          9060
        31          |          9070
        31          |          9080
        31          |          9090
        31          |          9100
        31          |          9110
        31          |          9120
        31          |          9130
        31          |          9140
        31          |          9150
        31          |          9160
        31          |          9170
        31          |          9180
        31          |          9190
        31          |          9200
        31          |          9210
        31          |          9220
        31          |          9230
        31          |          9240
        31          |          9250
        31          |          9260
        31          |          9270
        31          |          9280
        31          |          9290
        31          |          9300
        31          |          9310
        31          |          9320
        31          |          9330
        31          |          9340
        31          |          9350
        31          |          9360
        31          |          9370
        31          |          9380
        31          |          9390
        31          |          9400
        31          |          9410
        31          |          9420
        31          |          9430
        31          |          9440
        31          |          9450
        31          |          9460
        31          |          9470
        31          |          9480
        31          |          9490
        31          |          9500
        31          |          9510
        31          |          9520
        31          |          9530
        31          |          9540
        31          |          9550
        31          |          9560
        31          |          9570
        31          |          9580
        31          |          9590
        31          |          9600
        31          |          9610
        31          |          9620
        31          |          9630
        31          |          9640
        31          |          9650
        31          |          9660
        31          |          9670
        31          |          9680
        31          |          9690
        31          |          9700
        31          |          9710
        31          |          9720
        31          |          9730
        31          |          9740
        31          |          9750
        31          |          9760
        31          |          9770
        31          |          9780
        31          |          9790
        31          |          9800
        31          |          9810
        31          |          9820
        31          |          9830
        31          |          9840
        31          |          9850
        31          |          9860
        31          |          9870
        31          |          9880
        31          |          9890
        31          |          9900
        31          |          9910
        31          |          9920
        31          |          9930
        31          |          9940
        31          |          9950
        31          |          9960
        31          |          9970
        31          |          9980
        31          |          9990
        31          |          10000
